id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1588015114078375936,1588015114078375936,2022-11-02 23:48:01 EDT,2022-11-02,23:48:01,-400,747488042491875329,jr_shankar,Ravi Jayaraman,,"A critical vulnerability fix to OpenSSL version 3.0.7 will be available on November 1, 2022. Read on for more updates from the ArcGIS Trust Center about this fix.  https://t.co/mGMx4HRSjy  https://t.co/gNEj6ENSQs",en,[],['http://ow.ly/nOxi50LsLvX'],['https://pbs.twimg.com/media/FgnDVMzX0AESUwN.jpg'],0,0,0,[],[],https://twitter.com/jr_shankar/status/1588015114078375936,False,,1,https://pbs.twimg.com/media/FgnDVMzX0AESUwN.jpg,,,,,,,[],,,,
1587928784715464704,1587928784715464704,2022-11-02 18:04:59 EDT,2022-11-02,18:04:59,-400,166539231,prpnews,PressReleasePoint,," https://t.co/aKcTwIyc29 OpenSSL Gives Heads Up to Critical Vulnerability Disclosure,",en,[],['https://tinyurl.com/25ywtv3y'],[],0,0,0,[],[],https://twitter.com/prpnews/status/1587928784715464704,False,,0,,,,,,,,[],,,,
1587924904217022464,1587924904217022464,2022-11-02 17:49:34 EDT,2022-11-02,17:49:34,-400,85767032,keyoke_za,Gareth Emslie 🇿🇦 🇪🇦 🇨🇭,,"A new critical vulnerability has been announced for the OpenSSL v3 software, which could potentially allow for remote code execution or memory disclosure  https://t.co/clNb5L1xzi #NewOpenSSLv3vulnerability #preparewithMicrosoft #sharegeneratedinpartwithgpt3",en,[],['https://techcommunity.microsoft.com/t5/microsoft-defender-for-cloud/new-openssl-v3-vulnerability-prepare-with-microsoft-defender-for/ba-p/3666487'],[],0,0,0,"['newopensslv3vulnerability', 'preparewithmicrosoft', 'sharegeneratedinpartwithgpt3']",[],https://twitter.com/keyoke_za/status/1587924904217022464,False,,0,,,,,,,,[],,,,
1587912911984283648,1587912911984283648,2022-11-02 17:01:54 EDT,2022-11-02,17:01:54,-400,149109780,cybersecdn,Cyber Security Daily News,,OpenSSL Critical Vulnerability Disclosure - Check Point Blog  https://t.co/ebzkWOawpf #Sec_Cyber,en,[],['https://blog.checkpoint.com/2022/10/30/openssl-gives-heads-up-to-critical-vulnerability-disclosure-check-point-alerts-organizations-to-prepare-now/'],[],0,0,0,['sec_cyber'],[],https://twitter.com/CyberSecDN/status/1587912911984283648,False,,0,,,,,,,,[],,,,
1587895963473281024,1587895963473281024,2022-11-02 15:54:34 EDT,2022-11-02,15:54:34,-400,115563016,cipherstorm,CS Threat Intel,,"Downgraded but Still Dangerous: Continue to Take the OpenSSL Vulnerabilities Very Seriously: Do you know where you’re using OpenSSL versions 3.0.0 through 3.0.6 in your environments? The latest critical vulnerability to hit the news, in a recent flood of…  https://t.co/muAeFstM1J  https://t.co/26vOYpGwOY",en,[],['https://securityboulevard.com/2022/11/downgraded-but-still-dangerous-continue-to-take-the-openssl-vulnerabilities-very-seriously/?utm_source=dlvr.it&utm_medium=twitter'],['https://pbs.twimg.com/media/FglW9s2aAAIzV2r.jpg'],0,0,0,[],[],https://twitter.com/cipherstorm/status/1587895963473281024,False,,1,https://pbs.twimg.com/media/FglW9s2aAAIzV2r.jpg,,,,,,,[],,,,
1587881544676708352,1587881544676708352,2022-11-02 14:57:16 EDT,2022-11-02,14:57:16,-400,380382541,ercumentsumnulu,Ercument B.Sumnulu,,Critical Vulnerability Found and Fixed in Microsoft Azure Cosmos DB  https://t.co/RAtjrHMQ6B,en,[],['https://lnkd.in/dJdXp8wF'],[],0,0,0,[],[],https://twitter.com/ErcumentSumnulu/status/1587881544676708352,False,,0,,,,,,,,[],,,,
1587881041154510848,1587881041154510848,2022-11-02 14:55:16 EDT,2022-11-02,14:55:16,-400,1414642502116728834,vladburlutsky,Vlad_is_dev 🇺🇸 🇺🇦,,"Hey folks, openssl just fixed a critical vulnerability  https://t.co/0ftCiqAh3n make sure yall update",en,[],['https://www.cve.org/CVERecord?id=CVE-2022-3786'],[],0,0,0,[],[],https://twitter.com/VladBurlutsky/status/1587881041154510848,False,,0,,,,,,,,[],,,,
1587879988241498118,1587879988241498118,2022-11-02 14:51:05 EDT,2022-11-02,14:51:05,-400,2314468920,security_score,SecurityScorecard,,"Following the publication of a widespread, critical vulnerability affecting OpenSSL versions 3.0 and above, SecurityScorecard’s STRIKE team identified links to malicious activity.   For more about our emergency informational signal ⤵️   https://t.co/wmnorw4OtJ #Cybersecurity  https://t.co/Mh4P4zcsXW",en,[],['https://bit.ly/3fpx3OS'],['https://pbs.twimg.com/media/FglIbW1X0AIc9ym.jpg'],0,0,0,['cybersecurity'],[],https://twitter.com/security_score/status/1587879988241498118,False,,1,https://pbs.twimg.com/media/FglIbW1X0AIc9ym.jpg,,,,,,,[],,,,
1587866567123079169,1587866567123079169,2022-11-02 13:57:45 EDT,2022-11-02,13:57:45,-400,407121159,ucalgary_it,UCalgary IT,,"A critical vulnerability for the OpenSSL was released yesterday. If you operate your own servers, devices, or applications that use OpenSSL, please follow the link below for further details and update immediately if required. Tech article found here:  https://t.co/2G5LGu4vrN",en,[],['http://ow.ly/Ns1750Lsl1E'],[],0,1,0,[],[],https://twitter.com/UCalgary_IT/status/1587866567123079169,False,,0,,,,,,,,[],,,,
1587866430841573378,1587866430841573378,2022-11-02 13:57:12 EDT,2022-11-02,13:57:12,-400,1392141981732777989,readme_security,README_,,"The OpenSSL Project said it would reveal a critical vulnerability on 11/1, but instead the group disclosed a pair of high-severity flaws that are unlikely to be widely exploited, @nathanielmott reports:   https://t.co/cSXd7O2i8K",en,"[{'screen_name': 'nathanielmott', 'name': 'nathaniel mott', 'id': '266749531'}]",['https://readme.security/openssl-vulnerabilities-are-closer-to-heartburn-than-heartbleed-ffed3c9d9c71'],[],0,6,6,[],[],https://twitter.com/README_Security/status/1587866430841573378,False,,0,,,,,,,,[],,,,
